,state_name,x&y_coor
0,Jammu & Kashmir,"(-65.0, 172.0)"
1,Himanchal Pradesh,"(-67.0, 131.0)"
2,Punjab,"(-91.0, 116.0)"
3,Uttrakhand,"(-45.0, 107.0)"
4,Haryana,"(-83.0, 95.0)"
5,Delhi,"(-70.0, 80.0)"
6,Uttar Pradesh,"(-22.0, 62.0)"
7,Bihar,"(38.0, 45.0)"
8,Rajasthan,"(-116.0, 55.0)"
9,Sikkim,"(71.0, 70.0)"
10,Arunachal Pradesh,"(148.0, 93.0)"
11,Assam,"(129.0, 60.0)"
12,Nagaland,"(148.0, 59.0)"
13,Manipur,"(142.0, 40.0)"
14,Mizoram,"(130.0, 20.0)"
15,Tripura,"(114.0, 24.0)"
16,Meghalaya,"(100.0, 45.0)"
17,West Bengal,"(67.0, 8.0)"
18,Jharkhand,"(32.0, 17.0)"
19,Odisha,"(27.0, -26.0)"
20,Chhattisgarh,"(-11.0, -11.0)"
21,Andhra Pradesh,"(-46.0, -80.0)"
22,Karnataka,"(-92.0, -115.0)"
23,Tamil Nadu,"(-58.0, -156.0)"
24,Kerala,"(-85.0, -167.0)"
25,Pondicherry,"(-33.0, -131.0)"
26,Goa,"(-113.0, -98.0)"
27,Maharashtra,"(-93.0, -45.0)"
28,Gujarat,"(-140.0, 14.0)"
29,Madhya Pradesh,"(-59.0, 4.0)"
